ID;Ubicacion;Localidad;Interes Turistico;Superficie (m²);Precio (€);Acceso a Transporte Publico;Proximidad a Servicios (km);Zona Residencial;Zona Comercial;Indice de Criminalidad;Restricciones de Construccion;Comprar
26;Lat, Long;Albacete;25;985;394935;0;0.7444087709305637;1;0;25;15.0;False
27;Lat, Long;Cantabria;25;778;396424;1;0.8707624297393897;0;0;0;20.0;False
28;Lat, Long;Córdoba;0;890;290420;1;0.5646240664462175;0;0;25;15.0;False
29;Lat, Long;Cádiz;50;980;375748;1;0.3974969433276544;0;0;100;20.0;False
30;Lat, Long;Córdoba;100;688;329208;1;0.3468437359092149;1;1;25;15.0;False
31;Lat, Long;Toledo;0;652;282157;1;0.14460027769899972;1;1;75;20.0;False
32;Lat, Long;Alicante;25;611;250438;0;0.21960065392310701;1;0;25;inf;False
33;Lat, Long;Toledo;100;641;337506;1;0.9661226225793458;0;1;100;15.0;False
34;Lat, Long;Guadalajara;75;542;298756;1;0.8230824597414895;1;1;25;20.0;True
35;Lat, Long;Guipúzcoa;25;562;358488;0;0.715317084477139;0;0;100;15.0;False
36;Lat, Long;Málaga;100;989;299667;0;0.21241471000300932;1;0;75;15.0;True
37;Lat, Long;Cuenca;75;817;337334;1;0.9641319021408473;1;0;100;15.0;False
38;Lat, Long;Cádiz;0;725;259144;0;0.3746042182975855;1;1;0;15.0;False
39;Lat, Long;Málaga;75;508;397330;1;0.9689712937038245;1;0;75;inf;False
40;Lat, Long;Lleida;50;821;312719;0;0.522397628157205;0;0;50;20.0;False
41;Lat, Long;Palencia;25;866;236377;0;0.38076750867887876;1;0;50;15.0;False
42;Lat, Long;Zaragoza;75;526;331326;0;0.12797981627957178;1;0;0;inf;False
43;Lat, Long;Guipúzcoa;75;734;382892;1;0.1818919047544555;1;0;50;20.0;False
44;Lat, Long;Biscay;50;620;260823;0;0.24195160280094027;0;0;100;15.0;True
45;Lat, Long;Soria;0;945;230410;1;0.3396308650004225;0;1;25;20.0;False
46;Lat, Long;Huesca;50;802;281243;1;0.6878203810695416;1;1;50;inf;True
47;Lat, Long;Huelva;25;700;327166;1;0.15094476089135114;1;1;50;15.0;False
48;Lat, Long;Ciudad Real;75;517;318011;0;0.17711330780679024;1;1;25;inf;False
49;Lat, Long;Cáceres;25;588;291380;1;0.713706573651958;0;1;75;15.0;False
50;Lat, Long;Jaén;50;997;369320;1;0.3706150442628394;0;1;0;inf;False
51;Lat, Long;Biscay;0;982;236105;0;0.780613813086641;1;1;100;20.0;False
52;Lat, Long;Lleida;25;611;254296;1;0.6376604503033709;0;0;75;15.0;False
53;Lat, Long;Cuenca;25;976;208533;0;0.6415763850601887;1;0;25;20.0;False
54;Lat, Long;Soria;100;973;359558;0;0.1593818439485169;1;0;25;15.0;False
55;Lat, Long;Segovia;25;566;312937;1;0.8581715915266279;1;1;100;15.0;False
56;Lat, Long;Girona;100;869;396030;1;0.28305360530848855;1;0;0;20.0;False
57;Lat, Long;Cantabria;75;893;320335;0;0.8452589655827191;1;0;75;20.0;False
58;Lat, Long;Soria;25;772;290495;0;0.9802545149691377;1;1;100;inf;False
59;Lat, Long;Segovia;25;943;399935;0;0.2858415559080745;0;0;50;20.0;False
60;Lat, Long;Almería;25;565;341616;1;0.33846969072461885;1;1;75;20.0;False
61;Lat, Long;Cuenca;100;998;209464;0;0.993659026071601;1;0;0;20.0;False
62;Lat, Long;Albacete;50;888;310487;1;0.34954011329233403;1;1;25;15.0;False
63;Lat, Long;Barcelona;75;887;218018;1;0.9885236639298504;1;0;0;15.0;False
64;Lat, Long;Cáceres;100;533;285339;1;0.9427702375522603;0;1;100;20.0;False
65;Lat, Long;La Coruña;0;892;280371;0;0.21827697362672452;1;0;0;15.0;False
66;Lat, Long;Murcia;0;896;308456;1;0.7824541978568584;1;1;0;inf;False
67;Lat, Long;Asturias;0;539;283136;1;0.7778878321904443;0;1;25;20.0;False
68;Lat, Long;Cuenca;75;562;374604;0;0.7040804400490722;1;0;100;inf;False
69;Lat, Long;Badajoz;25;814;298224;0;0.6703498622926296;0;1;25;15.0;False
70;Lat, Long;Murcia;25;731;228458;1;0.20913162596761437;1;1;25;inf;False
71;Lat, Long;La Coruña;0;975;215141;0;0.2465246662840896;0;1;100;inf;False
72;Lat, Long;Guadalajara;50;975;311443;0;0.4374587302044557;0;0;75;15.0;False
73;Lat, Long;Valladolid;25;659;373740;0;0.6224906873592978;0;1;0;20.0;False
74;Lat, Long;Asturias;0;793;369635;1;0.8017246860969104;0;0;100;inf;False
75;Lat, Long;Cáceres;100;563;278451;0;0.12205516851692583;0;0;75;inf;True
76;Lat, Long;Huelva;100;567;266311;1;0.5334628416349584;1;1;75;15.0;True
77;Lat, Long;Lugo;75;643;294591;0;0.551630389647656;1;0;0;inf;True
78;Lat, Long;Sevilla;25;837;267938;0;0.3289362827049177;0;1;25;15.0;False
79;Lat, Long;Zamora;50;529;344795;0;0.2733086594847217;0;1;100;inf;False
80;Lat, Long;Cuenca;0;953;383017;0;0.6385784692613815;1;0;75;20.0;False
81;Lat, Long;Jaén;50;551;281793;0;0.8119309841325371;1;0;50;20.0;True
82;Lat, Long;Albacete;75;520;279695;1;0.236459642800057;0;1;0;20.0;True
83;Lat, Long;Valladolid;75;713;308022;1;0.9702658195783486;0;1;0;20.0;False
84;Lat, Long;León;100;724;255277;1;0.9311275390531426;0;0;50;inf;False
85;Lat, Long;Lugo;25;572;256772;1;0.9776388397808624;1;0;0;inf;False
86;Lat, Long;Pontevedra;25;903;394272;1;0.8710713224551385;0;1;100;inf;False
87;Lat, Long;Álava;0;505;356268;1;0.9219629953879119;0;1;0;20.0;False
88;Lat, Long;Córdoba;25;808;345701;0;0.4541693730763715;0;1;0;inf;False
89;Lat, Long;Guadalajara;50;929;362441;0;0.9288814456374558;0;1;100;inf;False
90;Lat, Long;Huelva;100;510;233164;0;0.7074160810112671;1;1;25;15.0;True
91;Lat, Long;Córdoba;100;581;323508;0;0.7069909691850674;1;1;25;15.0;False
92;Lat, Long;Castellón;25;900;394742;1;0.2775824612874491;0;1;100;15.0;False
93;Lat, Long;Teruel;25;537;387054;0;0.4111651410255983;1;0;25;inf;False
94;Lat, Long;Palencia;100;531;324408;1;0.9388580378669784;0;1;25;15.0;False
95;Lat, Long;La Rioja;100;660;355773;1;0.2465806285737527;1;1;75;15.0;False
96;Lat, Long;Málaga;0;973;393003;0;0.9470857902113741;1;0;25;20.0;False
97;Lat, Long;Lugo;50;559;296210;1;0.3344622282705403;1;1;0;inf;True
98;Lat, Long;Ciudad Real;25;523;261580;1;0.374990576465952;0;0;0;15.0;False
99;Lat, Long;Guadalajara;75;667;344167;0;0.6810202791636639;0;1;100;inf;False
100;Lat, Long;León;75;688;304003;0;0.38208063635275447;0;0;75;inf;False
101;Lat, Long;Pontevedra;50;537;344511;1;0.49580857379064014;0;1;25;15.0;False
102;Lat, Long;Valencia;25;575;203600;1;0.6504405173463913;0;0;0;20.0;False
103;Lat, Long;Toledo;100;919;341338;1;0.8645764648316302;0;0;25;inf;False
104;Lat, Long;Pontevedra;75;837;319480;0;0.7175301422245279;1;1;50;15.0;False
105;Lat, Long;Ourense;50;644;311482;0;0.19974248132405287;1;1;25;inf;False
106;Lat, Long;Córdoba;0;507;331404;0;0.9773008296093921;1;1;25;15.0;False
107;Lat, Long;Almería;0;818;251438;0;0.32816001210275325;1;1;25;15.0;False
108;Lat, Long;Santa Cruz de Tenerife;50;993;350603;1;0.14096725720930217;1;1;75;20.0;False
109;Lat, Long;Granada;0;786;262112;1;0.43936385742065953;1;0;50;15.0;False
110;Lat, Long;Ávila;75;721;281083;0;0.25508828512447745;1;0;75;15.0;True
111;Lat, Long;Salamanca;25;994;338155;0;0.12959862547211567;0;1;75;15.0;False
112;Lat, Long;Murcia;75;751;310428;1;0.13748867384141786;0;0;25;15.0;False
113;Lat, Long;Asturias;25;917;279180;0;0.9138319322850653;0;0;25;15.0;False
114;Lat, Long;Girona;50;767;287854;1;0.19044762294917267;1;0;25;15.0;True
115;Lat, Long;Alicante;0;841;210470;1;0.18612382398393956;0;1;75;inf;False
116;Lat, Long;Alicante;100;686;285756;1;0.8707861989304229;1;1;0;20.0;True
117;Lat, Long;La Coruña;75;741;204844;1;0.2516417011454172;0;1;75;inf;True
118;Lat, Long;Granada;50;850;328973;0;0.41617216325833173;0;0;25;inf;False
119;Lat, Long;Burgos;100;976;297435;0;0.6778415290124463;1;1;50;inf;True
120;Lat, Long;Lugo;100;691;287738;0;0.18741718600476934;0;1;75;15.0;True
121;Lat, Long;Madrid;25;528;264007;1;0.8836001258902186;1;1;25;20.0;False
122;Lat, Long;Soria;25;621;221926;1;0.34742668764231865;1;0;50;inf;False
123;Lat, Long;Cuenca;25;857;309045;1;0.6499402002846402;1;1;50;15.0;False
124;Lat, Long;Granada;75;577;244931;0;0.19745697584478925;1;1;50;15.0;True
125;Lat, Long;Jaén;75;533;299517;0;0.9190905777432768;1;0;100;20.0;False
126;Lat, Long;Guadalajara;50;950;259725;0;0.3362389071251086;0;1;75;20.0;True
127;Lat, Long;Burgos;75;609;221778;0;0.6869803435094172;1;1;100;inf;True
128;Lat, Long;Pontevedra;0;695;204959;1;0.972230052156532;1;0;100;15.0;False
129;Lat, Long;La Coruña;0;817;333528;1;0.4502685208484264;1;0;25;15.0;False
130;Lat, Long;Zamora;25;944;319351;0;0.3319573628753234;0;0;25;inf;False
131;Lat, Long;Lleida;0;584;314579;0;0.6428775720811621;1;1;0;20.0;False
132;Lat, Long;Lugo;0;918;322023;0;0.3112760513456567;1;1;50;inf;False
133;Lat, Long;Sevilla;25;748;209577;0;0.43435733817362854;0;1;100;15.0;False
134;Lat, Long;Tarragona;0;677;244797;1;0.23852611815532726;0;0;0;15.0;False
135;Lat, Long;Madrid;75;605;262618;1;0.9426999589113159;0;0;0;inf;False
136;Lat, Long;Jaén;100;717;248389;1;0.2378742999602746;0;1;100;15.0;True
137;Lat, Long;Cádiz;50;710;360826;1;0.5810535281892445;1;0;0;inf;False
138;Lat, Long;Almería;75;743;209641;0;0.7797794482701106;0;0;0;inf;True
139;Lat, Long;Pontevedra;25;883;236203;0;0.7210270638138324;0;1;100;20.0;False
140;Lat, Long;Santa Cruz de Tenerife;50;912;300863;0;0.636027610323904;0;0;75;20.0;False
141;Lat, Long;Cáceres;100;761;370215;1;0.19510577938842594;1;0;100;20.0;False
142;Lat, Long;Jaén;25;937;207141;1;0.4208636261049361;0;1;50;15.0;False
143;Lat, Long;Soria;50;774;337333;0;0.8569075195330268;1;1;25;20.0;False
144;Lat, Long;Ciudad Real;50;957;350539;1;0.5634563232471543;1;1;0;15.0;False
145;Lat, Long;Huesca;50;586;292608;1;0.24893638376156582;0;0;50;inf;True
146;Lat, Long;Granada;50;554;347864;0;0.9380908424211469;1;1;25;20.0;False
147;Lat, Long;Cáceres;75;834;349299;0;0.8766673009501312;0;0;50;inf;False
148;Lat, Long;Valencia;50;655;319491;1;0.3016089476066589;1;0;25;inf;False
149;Lat, Long;Albacete;100;702;259101;0;0.7270892139810312;0;0;100;15.0;True
150;Lat, Long;Cuenca;25;756;232688;0;0.2783584196313343;1;1;75;15.0;False
151;Lat, Long;Almería;50;511;293630;1;0.38400654646842014;1;1;75;15.0;True
152;Lat, Long;Murcia;50;596;293053;0;0.762062890880919;0;0;100;inf;True
153;Lat, Long;Jaén;50;923;263210;1;0.2803078608640135;1;0;50;inf;True
154;Lat, Long;Burgos;0;813;314493;0;0.599400071064259;1;1;25;20.0;False
155;Lat, Long;Asturias;0;745;215161;1;0.7589412055958191;0;0;50;20.0;False
156;Lat, Long;Cuenca;75;635;266273;1;0.5732542433773505;0;1;100;15.0;True
157;Lat, Long;Teruel;0;938;264790;0;0.7599018622888803;1;0;25;20.0;False
158;Lat, Long;Granada;75;809;360107;0;0.7141502470565173;0;0;50;15.0;False
159;Lat, Long;Asturias;75;979;343453;1;0.31140463732021495;0;1;100;inf;False
160;Lat, Long;Zamora;75;664;329151;0;0.6181551792544732;1;0;75;inf;False
161;Lat, Long;Lugo;100;819;328165;0;0.18481062399727322;1;1;50;15.0;False
162;Lat, Long;Santa Cruz de Tenerife;100;776;242837;1;0.8545163909725872;1;1;100;inf;True
163;Lat, Long;Castellón;25;682;353181;1;0.17939173345912168;1;1;75;20.0;False
164;Lat, Long;La Rioja;100;944;357169;0;0.6615831852109315;1;1;50;20.0;False
165;Lat, Long;Palencia;100;927;360007;1;0.565546473542982;0;1;50;20.0;False
166;Lat, Long;Almería;25;553;374329;1;0.18709968500853816;0;1;25;15.0;False
167;Lat, Long;Cuenca;0;898;210687;0;0.5893215294149174;0;0;0;20.0;False
168;Lat, Long;Girona;25;952;367663;0;0.6415468251903421;0;1;25;15.0;False
169;Lat, Long;Segovia;100;746;343955;0;0.2574666364926774;0;0;25;inf;False
170;Lat, Long;León;100;830;367747;1;0.15729324893279983;1;0;50;20.0;False
171;Lat, Long;Córdoba;100;869;273144;0;0.20132363955282512;0;1;50;15.0;True
172;Lat, Long;Biscay;50;924;306021;0;0.6649019853475022;1;0;50;20.0;False
173;Lat, Long;Palencia;100;506;335315;0;0.31270634779508233;0;1;25;20.0;False
174;Lat, Long;Huelva;0;801;236127;0;0.9162758560950021;1;0;50;inf;False
175;Lat, Long;Álava;25;583;335128;0;0.4575093984976929;1;0;0;15.0;False
176;Lat, Long;Soria;0;716;291546;1;0.2758550558386601;0;1;50;15.0;False
177;Lat, Long;Huesca;75;632;314783;0;0.5888118802883661;0;1;0;15.0;False
178;Lat, Long;Soria;75;731;290198;1;0.5038989494715268;1;0;100;inf;True
179;Lat, Long;Cantabria;25;649;211207;0;0.3852790792284949;0;1;50;inf;False
180;Lat, Long;Lleida;50;727;346284;0;0.6099634317387622;0;1;75;15.0;False
181;Lat, Long;Ourense;50;808;306964;0;0.35466517623726146;0;0;50;15.0;False
182;Lat, Long;Lleida;50;888;354809;0;0.5824112408300477;1;1;25;20.0;False
183;Lat, Long;Albacete;0;628;213423;0;0.440332439038327;1;1;100;inf;False
184;Lat, Long;Cuenca;100;810;373829;1;0.5697668535197173;0;0;100;20.0;False
185;Lat, Long;Granada;75;904;235112;0;0.28436160135814076;1;1;75;20.0;True
186;Lat, Long;Cuenca;100;744;209256;1;0.3191718982691273;0;1;75;20.0;True
187;Lat, Long;Cuenca;50;846;353482;1;0.7780323155373345;1;1;25;15.0;False
188;Lat, Long;Biscay;75;980;270056;1;0.38153857367307353;0;0;100;inf;True
189;Lat, Long;Badajoz;100;898;247891;1;0.5974934128751742;1;0;25;inf;True
190;Lat, Long;Zaragoza;75;640;210528;1;0.17099025195300283;1;0;100;15.0;True
191;Lat, Long;Santa Cruz de Tenerife;75;586;275164;1;0.3512931632123547;0;0;25;15.0;True
192;Lat, Long;Madrid;100;512;248021;0;0.3109080878718958;1;1;0;15.0;True
193;Lat, Long;Ciudad Real;25;869;367615;1;0.22728303606820496;0;0;75;20.0;False
194;Lat, Long;Zaragoza;100;822;211651;1;0.5145026260618991;1;0;100;inf;True
195;Lat, Long;Pontevedra;75;524;381673;0;0.7937625660048112;1;0;100;20.0;False
196;Lat, Long;Segovia;75;666;344058;0;0.8510053304106945;0;0;75;20.0;False
197;Lat, Long;Huesca;50;617;267936;1;0.37578491216692844;0;1;0;20.0;True
198;Lat, Long;Madrid;75;964;210498;0;0.40644093112635205;0;0;25;15.0;True
199;Lat, Long;Badajoz;25;859;379106;1;0.2094105182386863;0;1;0;15.0;False
200;Lat, Long;Cantabria;50;554;285843;0;0.9035770024593965;0;0;75;20.0;False
201;Lat, Long;La Coruña;25;954;250761;1;0.9774919010341334;0;0;75;15.0;False
202;Lat, Long;Soria;25;908;250600;1;0.8641177969614656;0;1;50;15.0;False
203;Lat, Long;Madrid;0;744;211980;1;0.15140853444747274;0;0;100;15.0;False
204;Lat, Long;Guipúzcoa;25;881;274347;1;0.23631444903359666;0;1;0;inf;False
205;Lat, Long;Soria;0;520;275587;1;0.8412218156981043;1;0;100;inf;False
206;Lat, Long;Ciudad Real;100;951;313634;0;0.3278279006616672;0;0;50;20.0;False
207;Lat, Long;Pontevedra;25;532;254514;0;0.18968758819221337;0;1;25;20.0;False
208;Lat, Long;Granada;50;998;341395;0;0.905414854808671;1;0;75;inf;False
209;Lat, Long;Girona;75;907;313837;1;0.9621407601114473;1;0;50;20.0;False
210;Lat, Long;Cuenca;25;954;366648;1;0.9224837805630074;0;0;0;inf;False
211;Lat, Long;Toledo;50;575;238701;0;0.4961123530600081;1;1;100;15.0;True
212;Lat, Long;Jaén;0;905;229215;0;0.27709540266779703;0;0;75;15.0;False
213;Lat, Long;Toledo;0;795;342043;0;0.26917834405282604;1;0;25;15.0;False
214;Lat, Long;Córdoba;50;867;362115;1;0.5766569451666125;0;1;100;20.0;False
215;Lat, Long;Tarragona;75;618;200137;0;0.6623879198463967;1;1;25;inf;True
216;Lat, Long;Madrid;50;884;303240;1;0.7227681087908815;1;0;50;inf;False
217;Lat, Long;Guipúzcoa;25;500;283214;0;0.570078832093328;0;1;25;20.0;False
218;Lat, Long;Las Palmas;25;554;235870;0;0.8504647296220159;1;0;25;20.0;False
219;Lat, Long;La Rioja;100;867;223582;0;0.1709013658269295;0;0;75;inf;True
220;Lat, Long;Málaga;25;709;366449;1;0.40857398917165866;1;1;75;20.0;False
221;Lat, Long;Cuenca;50;607;257734;0;0.891920030089563;0;1;0;15.0;True
222;Lat, Long;Tarragona;25;790;332843;0;0.8361672601719873;1;0;0;15.0;False
223;Lat, Long;Asturias;50;712;213519;0;0.7238172433137332;1;1;100;20.0;True
224;Lat, Long;Santa Cruz de Tenerife;50;516;264908;1;0.8931631932353512;1;0;75;inf;True
225;Lat, Long;Toledo;50;991;228203;0;0.9968306978926601;1;0;75;inf;False
226;Lat, Long;Toledo;100;942;203476;1;0.4826193140930243;0;1;25;20.0;True
227;Lat, Long;Murcia;75;604;333395;0;0.6107638271085427;1;1;0;20.0;False
228;Lat, Long;Toledo;50;521;232848;1;0.5248970412260674;1;1;50;20.0;True
229;Lat, Long;Las Palmas;75;792;261374;1;0.9297245201948788;1;0;50;15.0;False
230;Lat, Long;Málaga;75;953;329717;0;0.10154751486992414;0;1;75;15.0;False
231;Lat, Long;Las Palmas;75;711;316576;1;0.5923345460735958;0;0;50;inf;False
232;Lat, Long;Cáceres;25;984;333729;1;0.3967932752936528;0;1;75;15.0;False
233;Lat, Long;Soria;75;702;337384;0;0.5385360390179689;0;0;50;15.0;False
234;Lat, Long;Baleares;100;888;363521;1;0.1837709215488224;0;1;100;20.0;False
235;Lat, Long;Girona;100;657;239568;1;0.4363879667462677;1;0;0;20.0;True
236;Lat, Long;Biscay;75;983;339250;0;0.5793124631943969;1;1;25;inf;False
237;Lat, Long;Sevilla;100;693;278399;0;0.48858656338156947;1;0;100;inf;True
238;Lat, Long;Zaragoza;50;510;207211;1;0.6631396036810102;0;1;25;inf;True
239;Lat, Long;Zaragoza;75;918;244269;1;0.18532151521065654;0;0;0;inf;True
240;Lat, Long;Ávila;75;967;232298;1;0.33154286059101845;0;0;75;15.0;True
241;Lat, Long;Alicante;0;502;268348;1;0.5514068177027758;1;1;50;inf;False
242;Lat, Long;Asturias;25;903;299972;0;0.7906634762268377;0;0;75;inf;False
243;Lat, Long;Granada;25;717;348995;1;0.7950879769643442;0;1;75;15.0;False
244;Lat, Long;Zamora;75;553;291064;0;0.9252422525562398;1;1;100;15.0;False
245;Lat, Long;La Coruña;75;757;367208;1;0.711094549055037;1;0;50;15.0;False
246;Lat, Long;Alicante;25;666;320557;1;0.5971151291152849;0;1;25;inf;False
247;Lat, Long;Ávila;75;693;232621;1;0.9907996370039607;1;1;50;20.0;False
248;Lat, Long;Toledo;0;619;286568;1;0.16915125248126828;1;1;50;inf;False
249;Lat, Long;Granada;100;571;387601;1;0.20812659850716048;0;1;50;15.0;False
250;Lat, Long;La Rioja;50;640;218178;1;0.42385493448864264;0;0;25;inf;True
251;Lat, Long;Valladolid;25;510;206808;1;0.7941461107811467;0;0;0;inf;False
252;Lat, Long;Castellón;25;513;334055;1;0.43351957744860203;0;0;100;15.0;False
253;Lat, Long;Toledo;100;967;396174;1;0.40277193106314435;1;1;0;inf;False
254;Lat, Long;Pontevedra;75;969;374975;1;0.8777338000377389;0;0;0;20.0;False
255;Lat, Long;Salamanca;100;571;297985;1;0.22574776030147944;0;1;0;15.0;True
256;Lat, Long;Barcelona;50;543;256184;0;0.68217444964279;1;0;100;20.0;True
257;Lat, Long;Santa Cruz de Tenerife;50;974;271767;0;0.544796819081769;1;1;25;15.0;True
258;Lat, Long;Teruel;0;844;364572;1;0.14781993086306677;0;1;0;15.0;False
259;Lat, Long;Córdoba;75;893;302436;0;0.40992124464671487;0;1;75;20.0;False
260;Lat, Long;Granada;75;688;259012;1;0.49015694455880987;0;0;100;15.0;True
261;Lat, Long;Lleida;50;690;238008;0;0.3663383390344952;1;1;100;20.0;True
262;Lat, Long;Álava;100;861;329961;1;0.8141877409471637;0;1;0;15.0;False
263;Lat, Long;Navarra;100;942;208805;1;0.8232612949032936;1;1;50;15.0;True
264;Lat, Long;Huelva;50;501;227503;1;0.6981859860408985;0;0;25;15.0;True
265;Lat, Long;Cádiz;25;870;372165;0;0.9453352456103611;1;0;100;20.0;False
266;Lat, Long;Lugo;100;806;257190;0;0.47840410857146454;0;0;75;20.0;True
267;Lat, Long;Tarragona;25;771;385900;1;0.846989031968431;1;1;25;20.0;False
268;Lat, Long;Ávila;25;789;243839;1;0.5902133187070786;0;1;50;15.0;False
269;Lat, Long;Palencia;25;527;253458;1;0.9227780862466302;1;0;100;inf;False
270;Lat, Long;La Rioja;50;681;215361;0;0.4427890506041249;1;1;100;inf;True
271;Lat, Long;Lugo;100;516;350451;0;0.24686355918404537;1;1;75;inf;False
272;Lat, Long;Córdoba;25;985;230253;0;0.6121852298923329;0;1;0;20.0;False
273;Lat, Long;Santa Cruz de Tenerife;100;818;368367;0;0.28074355498488945;1;0;100;20.0;False
274;Lat, Long;Valencia;25;888;344607;1;0.1932481355591108;1;1;100;15.0;False
275;Lat, Long;Almería;75;797;266477;1;0.44740617579765307;0;0;75;20.0;True
276;Lat, Long;Almería;75;524;281865;1;0.3656194237237075;0;1;0;20.0;True
277;Lat, Long;Girona;0;732;280980;0;0.8254642715909251;1;1;0;15.0;False
278;Lat, Long;Pontevedra;75;527;218997;1;0.9946558091800852;1;1;25;15.0;False
279;Lat, Long;Huelva;25;722;390585;0;0.9739036497891722;1;0;75;inf;False
280;Lat, Long;Soria;100;800;250210;1;0.34149386210532806;1;1;25;20.0;True
281;Lat, Long;Las Palmas;75;567;396132;0;0.7373508037853644;0;1;50;20.0;False
282;Lat, Long;Lleida;100;702;387293;1;0.6596837345659626;1;1;50;15.0;False
283;Lat, Long;Tarragona;50;806;208327;0;0.1587115572923515;0;1;100;20.0;True
284;Lat, Long;Albacete;100;691;339194;1;0.669776194794645;1;1;75;15.0;False
285;Lat, Long;Lugo;100;974;331543;0;0.38784481703303153;1;0;25;20.0;False
286;Lat, Long;Badajoz;100;769;222270;0;0.6888800449699487;0;1;25;15.0;True
287;Lat, Long;Valladolid;50;777;335745;1;0.35258476200327604;0;0;50;20.0;False
288;Lat, Long;Cuenca;50;948;274708;1;0.45071561461860077;1;0;100;20.0;True
289;Lat, Long;Castellón;50;817;295709;0;0.8169482970017294;0;0;25;inf;True
290;Lat, Long;Badajoz;100;621;277961;0;0.6974596118115665;1;0;0;15.0;True
291;Lat, Long;Zaragoza;0;580;335162;1;0.2980515636554416;1;1;100;20.0;False
292;Lat, Long;Soria;25;998;288022;0;0.46433595726194155;1;0;0;inf;False
293;Lat, Long;Álava;100;939;396380;1;0.34061633536987346;0;0;0;20.0;False
294;Lat, Long;Tarragona;75;693;272579;1;0.3114454650550866;0;1;50;20.0;True
295;Lat, Long;Albacete;100;939;245033;1;0.49587056480990466;0;1;50;20.0;True
296;Lat, Long;Sevilla;0;982;256600;1;0.5387833354942723;0;1;75;15.0;False
297;Lat, Long;Valencia;100;562;393948;1;0.559379725715726;1;1;50;inf;False
298;Lat, Long;Alicante;25;944;339895;1;0.6873109237813613;1;0;50;inf;False
299;Lat, Long;Toledo;100;813;384696;0;0.6182591199797681;0;0;75;20.0;False
300;Lat, Long;Tarragona;100;515;321656;1;0.5653168187584391;1;1;50;15.0;False
301;Lat, Long;Valladolid;75;708;243172;0;0.9274412155230173;1;0;0;inf;False
302;Lat, Long;Asturias;100;803;390713;1;0.6548041738149756;1;1;50;inf;False
303;Lat, Long;Jaén;0;924;331749;1;0.39895889472715473;0;0;75;15.0;False
304;Lat, Long;Teruel;0;728;355577;0;0.5512319969874178;1;0;75;inf;False
305;Lat, Long;Baleares;100;647;219405;1;0.9804903484976609;0;1;50;inf;False
306;Lat, Long;Navarra;75;689;365401;1;0.7998137400371779;1;0;25;inf;False
307;Lat, Long;Zamora;0;507;346296;0;0.931387316922893;1;1;100;20.0;False
308;Lat, Long;Cádiz;75;994;326827;0;0.38118621551943144;0;0;50;inf;False
309;Lat, Long;Álava;100;715;234936;1;0.2859135834322999;0;1;25;20.0;True
310;Lat, Long;Madrid;75;690;213682;0;0.888606966073176;1;1;75;20.0;True
311;Lat, Long;Barcelona;75;800;329358;0;0.27643719696027946;0;0;50;20.0;False
312;Lat, Long;Málaga;0;939;221911;0;0.4572303660351522;0;0;0;inf;False
